Data,Balanço de pagamentos - balança comercial - saldo - US$ - Banco Central do Brasil- Balanço de Pagamentos (BPM6) (BCB / BP (BPM6)) - BPAG12_BC12,
2013.01,-4181.39948485,
2013.02,-1432.902264525,
2013.03,-3.87366319500507,
2013.04,-1155.18001581,
2013.05,586.200467759998,
2013.06,2137.009783805,
2013.07,-2062.36229925,
2013.08,1028.035905055,
2013.09,1811.56835823999,
2013.10,-414.177667159998,
2013.11,1535.98189292,
2013.12,2539.67997317,
2014.01,-3890.59811565,
2014.02,-2344.032622815,
2014.03,-139.963141294997,
2014.04,285.284861460004,
2014.05,423.935274595005,
2014.06,2122.517257105,
2014.07,1291.14159003001,
2014.08,903.239261205003,
2014.09,-1145.072042375,
2014.10,-1473.16273913,
2014.11,-2707.1715638,
2014.12,-65.0617952550019,
2015.01,-2877.840588485,
2015.02,-3097.667051575,
2015.03,148.931628390001,
2015.04,272.625016370001,
2015.05,2449.921635915,
2015.06,4309.85406258001,
2015.07,2625.708449905,
2015.08,2366.025004465,
2015.09,2624.092694585,
2015.10,1676.37099019,
2015.11,898.91907503,
2015.12,6048.010731155,
2016.01,1116.16916176,
2016.02,2777.916807225,
2016.03,4123.30341819,
2016.04,4542.30635391,
2016.05,6127.006302665,
2016.06,3631.380713235,
2016.07,4245.11223648,
2016.08,3830.770690035,
2016.09,3522.71121736,
2016.10,2039.381142645,
2016.11,4448.42142212,
2016.12,4139.126782535,
2017.01,2426.92374481,
2017.02,4368.112576625,
2017.03,6418.50679422,
2017.04,6125.62861472,
2017.05,6712.016866645,
2017.06,6268.455902975,
2017.07,5383.79534473,
2017.08,4547.87885085501,
2017.09,4301.300368545,
2017.10,4128.01202754,
2017.11,2559.015871465,
2017.12,4085.387715,
2018.01,1695.55006846,
2018.02,1999.323063305,
2018.03,5355.575333695,
2018.04,4531.20930366999,
2018.05,4950.16908539,
2018.06,4607.1927984,
2018.07,2638.385184415,
2018.08,1318.9314042,
2018.09,3867.905932495,
2018.10,4418.783280015,
2018.11,2704.417426685,
2018.12,5285.329736985,
2019.01,13.7273309449956,
2019.02,1703.62963288,
2019.03,2880.77506358501,
2019.04,3981.123787635,
2019.05,3818.88146085501,
2019.06,3603.87218292,
2019.07,326.534514444989,
2019.08,1332.604870455,
2019.09,2192.50431362,
2019.10,598.51025983,
2019.11,1816.41436867,
2019.12,4278.151546495,
2020.01,-3622.557171865,
2020.02,716.842962885001,
2020.03,2090.48011319,
2020.04,4877.106699435,
2020.05,3153.522051695,
2020.06,5877.616093045,
