index_date,balance_of_payments_(us$_millions)_forecast
2021-12-01,291.1928013035913
2022-01-01,-3397.089412145303
2022-02-01,-1290.10076662425
2022-03-01,-45.40444735422693
2022-04-01,3274.51752317137
2022-05-01,2908.0108316826054
2022-06-01,3225.0402934233807
2022-07-01,2254.3366191830023
2022-08-01,1608.446839490467
2022-09-01,891.6193538003986
2022-10-01,-114.57955705699817
2022-11-01,-1333.045965934776
